date	texte	images		
1204	Début de la construction de la Merveille. Le roi de France, Philippe-Auguste prête de l’argent à l’abbaye afin de dédommager le monastère du préjudice causé par les Bretons. Cet argent est investi dans la construction de la Merveille. Le bâtiment mérite bel et bien son nom puisque l’endroit où il est construit n’est pas un endroit propice à la construction, c'est un terrain en pente. 	https://i.imgur.com/jPuhd1B.png	https://i.imgur.com/5grk6a2.png	
1337	Début de la Guerre de Cents Ans	https://i.imgur.com/3FeDZSN.png		
1356	Les Anglais, s'emparent du Tombelaine et prévoient de s’attaquer au Mont.	https://i.imgur.com/3plZOn0.png		
1386	Pierre le Roy est élu abbé. Conscient du danger que représentent les Anglais, il se hâte à construire autour de l'îlot, de nouvelles fortifications. Les bâtiments de cette fortification sont la “Tour Perrine”, la “Tour des Corbins” et le Châtelet. Grâce à ces fortifications et aux quelque trente chevaliers qui restèrent en poste, les défenses s'avérèrent infranchissables.	https://i.imgur.com/xbM06qb.png|André Le Borgne	https://i.imgur.com/m8x1QyA.png	
1415	Défaite du roi de France, Charles VI, à la bataille d’Azincourt. La défense du Mont, et plus généralement de France, est réduite à néant, ce qui rend le Mont très vulnérable. Suite à cette désorganisation totale, le nouvel abbé du Mont, Robert Jolivet, lève des impôts impressionnants, afin de construire une grande muraille autour de la ville, elle-même étant la protection de l’abbaye, face à la menace Anglaise.	https://i.imgur.com/P827yd9.png		
1419	Rouen tombe aux mains des Anglais en 1419, toute la Normandie passe sous contrôle Anglais excepté le Mont.	https://i.imgur.com/rBbyXn5.png		
1421	Le chœur de l’église la Merveille s'effondre, et ne sera reconstruit totalement qu'un siècle plus tard.	https://i.imgur.com/hyfQNjC.png|BARBOT Yves		
1424	Les Anglais reprennent d’assaut le Mont, mais les défenses sont si bien conçues que les Anglais n’arrivent pas du tout à y pénétrer. Les Montois, habitants du Mont, arrivent même, en rassemblant leur courage, à les faire fuir, par des attaques nocturnes éclairs.	https://i.imgur.com/9yGtrc3.png		
1425	Les Anglais se replient après une lourde défaite. Après cette grande victoire, les pèlerins affluent de tout le royaume pour rendre hommage au dernier défenseur du royaume, l’archange Saint-Michel.	https://i.imgur.com/sluvDho.png|Edward William Cooke		
1433	Un immense incendie ravage une grande partie de la ville. Suite à cela, les Anglais veulent profiter de l’occasion et donc ils rassemblent une grande armée.			
1434	Les Anglais percent une brèche dans le mur et arrivent à envahir le Mont. Pour faire face à cette menace, le capitaine du Mont, réorganise ses troupes et lance une contre-attaque extrêmement puissante. Tellement puissante que les Anglais fuient, en laissant sur place, deux bombardes. Ce fait d’arme galvanise les armées françaises.	https://i.imgur.com/jWh8sbq.png		
1461	Louis XI accède au trône après la mort de son père, Charles VII. Ce roi était très pieux. Il se rendit quatre fois au mont durant sa vie. Pour féliciter les défenseurs du Mont, il créera l’ordre des chevaliers de Saint-Michel.	https://i.imgur.com/SJa1AyJ.png	https://i.imgur.com/hYTDw3c.png	
1523	Les Moines, qui avant élisaient leur abbé, ne le font plus, et c’est le roi qui choisi l’abbé du Mont, qui n’est généralement pas un ecclésiastique, et qui est surtout placé là pour faire profiter au royaume de France, les richesses du Mont.	https://i.imgur.com/PqHq4iZ.png		
1591	Une guerre civile fait rage dans le royaume de France, et cela effraye les habitants du Mont. Les protestants souhaitent prendre l’abbaye.	https://i.imgur.com/rtHirSE.png		
1594	La foudre s’abat encore une fois sur la flèche du Mont-Saint-Michel, ce qui a pour effet de la détruire et de faire brûler une partie de la charpente de l’église. L’abbé refuse de faire reconstruire le clocher. Il ne sera reconstruit que 15 ans plus tard.	https://i.imgur.com/USBAerl.png		
1622	La réforme de la congrégation de Saint Maur installe des moines dans l’église après que le mont ait été déserté par ses abbés commanditaires au 17ᵉ et siècle, et qu’il ait perdu de l’importance.	https://i.imgur.com/YEUi6Eu.png|Sofonisba Anguissola		
1789	Début de la Révolution Française	https://i.imgur.com/0z7opiS.png	https://i.imgur.com/k24lCJZ.png	
1790	Les moines sont chassés de l’abbaye. Tous leurs biens sont vendus en 1792	https://i.imgur.com/Wc9Wh4P.png		
1793	Le Mont fut transformé en Prison pour les prêtres Réfractaires et 300 d’entre eux furent enfermés. Ils seront libérés en 1799.	https://i.imgur.com/X3FY3gv.png		
1804	Napoléon Bonaparte est sacré Empereur des Français sous le nom de Napoléon Ier.	https://i.imgur.com/mAr1BDg.png		
1811	Par décret impérial, le Mont fut transformé en bagne pour les condamnés aux travaux forcés. Les pièces seront toutes transformées en atelier et 700 forçats travaillent dedans.	https://i.imgur.com/wEOySxr.png		
1817	L’ancienne hôtellerie bâtie durant le règne de Thorigny s'effondre.	https://i.imgur.com/gO8PDqW.png		
1834	Un incendie se déclare dans l’église abbatiale, qui a depuis été reconvertie en usine à chapeau. La reconstruction est entreprise, mais elle est trop superficielle par rapport au dégât qu’à subit l’église.	https://i.imgur.com/AAEvsbz.png		
1863	La prison est fermée. L’abbaye est louée à l'évêque de Coutance. Les moines sont invités à vivre dans l’abbaye et les pèlerins reviennent. Les auberges, hôtels et magasins de souvenirs rouvrent également pour cause de visites en hausse.	https://i.imgur.com/YLkPKIE.png	https://i.imgur.com/u5MToH6.png	
1874	L’abbaye est classée comme monument historique. Les moines sont de nouveau expulsés et l’architecte Edouard Corroyer est appelé pour diriger les travaux de restauration.	https://i.imgur.com/L32neM3.png		
1879	La construction de la digue le reliant à la terre, avec également la première voie de chemin de fer reliant Pontorson (juste au sud du Mont) permet à énormément de touristes de venir admirer le Mont dans toute sa splendeur.	https://i.imgur.com/mR765QW.png	https://i.imgur.com/Uhorpqi.png	https://i.imgur.com/OfUueso.png
1914	Début de la Première Guerre mondiale, pendant la Première Guerre mondiale, la Normandie est située loin des zones de combat, étant elles, plus à l’est. Bien qu'on puisse entendre des coups de canon lointains. La Normandie, et donc le Mont-Saint-Michel serviront d'arrière poste aux alliés, notamment aux Anglais. De nombreux réfugiés vinrent au Mont. La majorité, étant originaire du nord de la France ou de Belgique.	https://imgur.com/VUMZ46t.png|nc		
1918	Fin de la Première Guerre Mondiale	https://i.imgur.com/rOdNBpX.png		
1922	Rechristianisation du Mont Saint Michel.	https://i.imgur.com/5iTXqY8.png		
1939	Début de la Seconde Guerre Mondiale	https://i.imgur.com/2g8Dwl7.png		
1940	Début de l’occupation allemande. Durant la Seconde Guerre Mondiale, les Allemands vont venir occuper le Mont à partir du 20 juin 1940.	https://i.imgur.com/5Q8wWKq.png		
1944	Débarquement Allié en Normandie, Lorsque les alliés débarquent en 1944, et qu’ils font pression sur les armées allemandes, ceux-ci viennent se replier au Mont.	https://i.imgur.com/vJyotGv.png		
1950	Après les horreurs du début du siècle, le fait que le Mont soit devenu un lieu de visite de rang international, a fait de la commune du Mont, l’une des destinations les plus fortes de France.	https://i.imgur.com/BYH67dS.png		
1966	On fête le millénaire du Mont	https://i.imgur.com/oXOSALw.png		
1979	Le Mont a été inscrit au Patrimoine Mondial de L’UNESCO	https://i.imgur.com/FDqpQDy.png		
1983	Un projet est mis en place pour remplacer la digue par une passerelle sur pilotis, et donc ainsi, montant et descendant avec la marée pour rendre au Mont son caractère d'îlot lorsque la marée est haute.	https://i.imgur.com/6MwCdAF.png		
2001	Les moines et les sœurs de la Fraternité de Jérusalem réinvestissent les lieux et organisent des célébrations tous les jours, après l’abandon de celle-ci par les moines Bénédictins.	https://i.imgur.com/SAxQmnt.png		
