date	texte	images		
1863	السجن مغلق. تم تأجير الدير لأسقف كوتان. الرهبان مدعوون للعيش في الدير ، ويعود الحجاج. كما يتم إعادة فتح النزل والفنادق ومحلات بيع التذكارات بسبب زيادة الزيارات.	https://i.imgur.com/YLkPKIE.png	https://i.imgur.com/u5MToH6.png	
1874	يصنف الدير على أنه نصب تاريخي. تم طرد الرهبان مرة أخرى وتم استدعاء المهندس المعماري إدوارد كوروير لتوجيه أعمال الترميم.	https://i.imgur.com/L32neM3.png		
1879	إن بناء السد الذي يربطه بالأرض ، وأيضا مع أول خط سكة حديد يربط بونتورسون (جنوب الجبل) يسمح للكثير من السياح بالقدوم والاستمتاع بالجبل بكل روعته.	https://i.imgur.com/mR765QW.png	https://i.imgur.com/Uhorpqi.png	https://i.imgur.com/OfUueso.png
1914	بداية الحرب العالمية الأولى ، خلال الحرب العالمية الأولى ، تقع نورماندي بعيدا عن مناطق القتال ، كونها ، شرقا. على الرغم من أن طلقات المدافع البعيدة يمكن سماعها. نورماندي ، وبالتالي مونت سانت ميشيل سيكون بمثابة وظيفة خلفية للحلفاء ، وخاصة الإنجليزية. جاء العديد من اللاجئين إلى جبل. الأغلبية ، من شمال فرنسا أو بلجيكا.	https://imgur.com/VUMZ46t.png|nc		
1918	نهاية الحرب العالمية الأولى	https://i.imgur.com/rOdNBpX.png		
1922	إعادة مسيحية مونت سانت ميشيل.	https://i.imgur.com/5iTXqY8.png		
1939	بداية الحرب العالمية الثانية	https://i.imgur.com/2g8Dwl7.png		
1940	بداية الاحتلال الألماني. خلال الحرب العالمية الثانية ، جاء الألمان لاحتلال الجبل من 20 يونيو 1940.	https://i.imgur.com/5Q8wWKq.png		
1944	هبوط الحلفاء في نورماندي ، عندما هبط الحلفاء في عام 1944 ، وضغطوا على الجيوش الألمانية ، جاءوا للتراجع إلى جبل.	https://i.imgur.com/vJyotGv.png		
1950	بعد أهوال بداية القرن ، حقيقة أن مونت أصبح مكانا للزيارة من المرتبة الدولية ، جعلت بلدية مونت ، واحدة من أقوى الوجهات في فرنسا.	https://i.imgur.com/BYH67dS.png		
1966	نحتفل الألفية من جبل	https://i.imgur.com/oXOSALw.png		
1979	الجبل هو أحد مواقع التراث العالمي لليونسكو	https://i.imgur.com/FDqpQDy.png		
1983	تم إنشاء مشروع لاستبدال السد بجسر للمشاة على ركائز متينة ، وبالتالي ، الصعود والهبوط مع المد لإعادة الجبل إلى طابعه الجزيري عندما يكون المد مرتفعا.	https://i.imgur.com/6MwCdAF.png		
2001	يقوم رهبان وأخوات جماعة الإخوان المسلمين في القدس بإعادة استثمار المباني وتنظيم الاحتفالات كل يوم ، بعد التخلي عنها من قبل الرهبان البينديكتين.	https://i.imgur.com/SAxQmnt.png		
